,ID,Name,Date,Time,Event,Status,Latitude,Longitude,Maximum Wind,Minimum Pressure,Low Wind NE,Low Wind SE,Low Wind SW,Low Wind NW,Moderate Wind NE,Moderate Wind SE,Moderate Wind SW,Moderate Wind NW,High Wind NE,High Wind SE,High Wind SW,High Wind NW,Year,Month,Day,Hurricane Name,Hurricane Year,Hurricane Month,Total Deaths,US Impact? 1=yes
39,AL171976,GLORIA,19760929,600.0,,HU,29.1N,59.8W,65.0,984.0,,,,,,,,,,,,,1976,9,29,GLORIA,1976,9,0,0
40,AL211976,HOLLY,19761024,1200.0,,HU,24.9N,58.1W,65.0,990.0,,,,,,,,,,,,,1976,10,24,HOLLY,1976,10,0,0
41,AL051977,ANITA,19770830,1800.0,,HU,26.5N,90.6W,65.0,997.0,,,,,,,,,,,,,1977,8,30,ANITA,1977,8,0,1
42,AL061977,BABE,19770905,600.0,,HU,28.7N,91.4W,65.0,995.0,,,,,,,,,,,,,1977,9,5,BABE,1977,9,0,1
43,AL071977,CLARA,19770908,1200.0,,HU,35.5N,67.7W,65.0,993.0,,,,,,,,,,,,,1977,9,8,CLARA,1977,9,0,1
44,AL101977,DOROTHY,19770928,1200.0,,HU,35.5N,59.7W,65.0,988.0,,,,,,,,,,,,,1977,9,28,DOROTHY,1977,9,0,0
45,AL131977,EVELYN,19771015,0.0,,HU,39.2N,63.3W,65.0,994.0,,,,,,,,,,,,,1977,10,15,EVELYN,1977,10,0,0
46,AL061978,CORA,19780808,1800.0,,HU,14.0N,43.2W,65.0,990.0,,,,,,,,,,,,,1978,8,8,CORA,1978,8,0,1
47,AL101978,ELLA,19780831,1800.0,,HU,29.3N,68.8W,70.0,980.0,,,,,,,,,,,,,1978,8,31,ELLA,1978,8,0,1
48,AL131978,FLOSSIE,19780912,600.0,,HU,31.4N,44.0W,65.0,992.0,,,,,,,,,,,,,1978,9,12,FLOSSIE,1978,9,0,0
49,AL161978,GRETA,19780916,1200.0,,HU,14.0N,77.7W,70.0,989.0,,,,,,,,,,,,,1978,9,16,GRETA,1978,9,0,0
50,AL231978,KENDRA,19781029,1800.0,,HU,26.2N,74.1W,65.0,995.0,,,,,,,,,,,,,1978,10,29,KENDRA,1978,10,0,1
51,AL041979,BOB,19790711,0.0,,HU,26.2N,91.6W,65.0,988.0,,,,,,,,,,,,,1979,7,11,BOB,1979,7,1,1
52,AL091979,DAVID,19790827,600.0,,HU,11.8N,48.5W,65.0,980.0,,,,,,,,,,,,,1979,8,27,DAVID,1979,8,20,1
53,AL111979,FREDERIC,19790901,600.0,,HU,12.9N,48.7W,65.0,987.0,,,,,,,,,,,,,1979,9,1,FREDERIC,1979,9,5,1
54,AL141979,GLORIA,19790907,600.0,,HU,24.4N,37.2W,65.0,992.0,,,,,,,,,,,,,1979,9,7,GLORIA,1979,9,0,0
55,AL151979,HENRI,19790917,600.0,,HU,20.2N,94.0W,65.0,990.0,,,,,,,,,,,,,1979,9,17,HENRI,1979,9,0,1
56,AL041980,ALLEN,19800803,0.0,,HU,12.4N,51.4W,65.0,985.0,,,,,,,,,,,,,1980,8,3,ALLEN,1980,8,19,1
57,AL061980,BONNIE,19800816,0.0,,HU,22.0N,38.7W,75.0,985.0,,,,,,,,,,,,,1980,8,16,BONNIE,1980,8,0,0
58,AL071980,CHARLEY,19800823,0.0,,HU,39.6N,65.9W,65.0,992.0,,,,,,,,,,,,,1980,8,23,CHARLEY,1980,8,0,1
59,AL091980,GEORGES,19800908,0.0,,HU,40.2N,59.0W,70.0,993.0,,,,,,,,,,,,,1980,9,8,GEORGES,1980,9,0,1
60,AL101980,EARL,19800908,600.0,,HU,30.4N,42.5W,65.0,988.0,,,,,,,,,,,,,1980,9,8,EARL,1980,9,0,0
61,AL121980,FRANCES,19800908,0.0,,HU,13.0N,25.6W,65.0,986.0,,,,,,,,,,,,,1980,9,8,FRANCES,1980,9,0,0
62,AL141980,IVAN,19801006,0.0,,HU,30.1N,30.5W,65.0,992.0,,,,,,,,,,,,,1980,10,6,IVAN,1980,10,0,0
63,AL161980,JEANNE,19801111,1200.0,,HU,24.1N,87.0W,65.0,992.0,,,,,,,,,,,,,1980,11,11,JEANNE,1980,11,0,1
