,ID,Name,Date,Time,Event,Status,Latitude,Longitude,Maximum Wind,Minimum Pressure,Low Wind NE,Low Wind SE,Low Wind SW,Low Wind NW,Moderate Wind NE,Moderate Wind SE,Moderate Wind SW,Moderate Wind NW,High Wind NE,High Wind SE,High Wind SW,High Wind NW,Year,Month,Day,Hurricane Name,Hurricane Year,Hurricane Month,Total Deaths,US Impact? 1=yes
272,AL172012,RAFAEL,20121015,600.0,,HU,22.0N,65.2W,65.0,986.0,150.0,150.0,50.0,100.0,70.0,40.0,15.0,40.0,40.0,20.0,0.0,30.0,2012,10,15,RAFAEL,2012,10,0,1
273,AL182012,SANDY,20121024,1900.0,L,HU,17.9N,76.6W,75.0,971.0,150.0,180.0,70.0,70.0,50.0,60.0,40.0,40.0,25.0,30.0,20.0,25.0,2012,10,24,SANDY,2012,10,80,1
275,AL102013,INGRID,20130914,1800.0,,HU,21.0N,94.4W,65.0,986.0,70.0,80.0,40.0,40.0,40.0,20.0,0.0,20.0,20.0,0.0,0.0,0.0,2013,9,14,INGRID,2013,9,0,1
276,AL012014,ARTHUR,20140704,315.0,L,HU,34.7N,76.6W,85.0,973.0,110.0,130.0,80.0,60.0,50.0,80.0,50.0,30.0,30.0,35.0,30.0,20.0,2014,7,4,ARTHUR,2014,7,1,1
277,AL032014,BERTHA,20140804,1200.0,,HU,26.8N,73.6W,70.0,998.0,140.0,100.0,30.0,40.0,40.0,40.0,0.0,0.0,20.0,20.0,0.0,0.0,2014,8,4,BERTHA,2014,8,3,1
278,AL042014,CRISTOBAL,20140826,0.0,,HU,25.1N,72.1W,65.0,989.0,60.0,180.0,60.0,30.0,0.0,80.0,0.0,0.0,0.0,40.0,0.0,0.0,2014,8,26,CRISTOBAL,2014,8,4,1
279,AL062014,EDOUARD,20140914,1200.0,,HU,24.4N,50.3W,70.0,985.0,120.0,120.0,60.0,100.0,40.0,40.0,30.0,40.0,15.0,15.0,0.0,15.0,2014,9,14,EDOUARD,2014,9,3,1
284,AL112015,JOAQUIN,20151001,1200.0,L,HU,23.1N,73.7W,115.0,942.0,110.0,150.0,120.0,110.0,60.0,60.0,40.0,50.0,35.0,30.0,30.0,30.0,2015,10,1,JOAQUIN,2015,9,4,1
288,AL072016,GASTON,20160824,1200.0,,HU,15.8N,39.1W,65.0,992.0,90.0,90.0,40.0,60.0,40.0,40.0,0.0,30.0,20.0,10.0,0.0,0.0,2016,8,24,GASTON,2016,8,2,1
289,AL092016,HERMINE,20160902,530.0,L,HU,30.1N,84.1W,70.0,981.0,130.0,150.0,60.0,60.0,70.0,110.0,40.0,30.0,30.0,40.0,30.0,0.0,2016,9,2,HERMINE,2016,9,0,1
290,AL142016,MATTHEW,20161004,1100.0,L,HU,18.3N,74.3W,130.0,935.0,170.0,150.0,90.0,100.0,70.0,60.0,50.0,60.0,35.0,35.0,30.0,30.0,2016,10,4,MATTHEW,2016,9,42,1
291,AL152016,NICOLE,20161006,1800.0,,HU,27.3N,65.1W,75.0,980.0,50.0,80.0,30.0,40.0,30.0,30.0,20.0,20.0,15.0,15.0,10.0,15.0,2016,10,6,NICOLE,2016,10,2,1
293,AL072017,FRANKLIN,20170810,500.0,L,HU,20.0N,96.6W,70.0,990.0,130.0,90.0,50.0,130.0,50.0,50.0,20.0,40.0,30.0,25.0,0.0,0.0,2017,8,10,FRANKLIN,2017,8,0,1
294,AL082017,GERT,20170815,600.0,,HU,31.5N,72.3W,65.0,986.0,90.0,80.0,50.0,50.0,50.0,40.0,0.0,30.0,20.0,20.0,0.0,0.0,2017,8,15,GERT,2017,8,2,1
295,AL092017,HARVEY,20170826,300.0,L,HU,28.0N,96.9W,115.0,937.0,120.0,90.0,80.0,70.0,60.0,40.0,40.0,40.0,35.0,25.0,20.0,25.0,2017,8,26,HARVEY,2017,8,114,1
296,AL112017,IRMA,20170906,545.0,L,HU,17.7N,61.8W,155.0,914.0,150.0,110.0,90.0,150.0,80.0,60.0,40.0,70.0,45.0,40.0,30.0,45.0,2017,9,6,IRMA,2017,8,9,1
297,AL122017,JOSE,20170906,1800.0,,HU,13.7N,45.2W,65.0,995.0,60.0,40.0,40.0,60.0,30.0,20.0,20.0,30.0,15.0,0.0,0.0,10.0,2017,9,6,JOSE,2017,9,2,1
300,AL152017,MARIA,20170919,115.0,L,HU,15.4N,61.3W,145.0,922.0,110.0,110.0,80.0,90.0,40.0,40.0,30.0,40.0,25.0,25.0,20.0,25.0,2017,9,19,MARIA,2017,9,0,1
301,AL162017,NATE,20171008,0.0,L,HU,29.1N,89.2W,75.0,983.0,110.0,100.0,40.0,70.0,50.0,50.0,0.0,20.0,30.0,30.0,0.0,0.0,2017,10,8,NATE,2017,10,2,1
