,ID,Name,Date,Time,Event,Status,Latitude,Longitude,Maximum Wind,Minimum Pressure,Low Wind NE,Low Wind SE,Low Wind SW,Low Wind NW,Moderate Wind NE,Moderate Wind SE,Moderate Wind SW,Moderate Wind NW,High Wind NE,High Wind SE,High Wind SW,High Wind NW,Year,Month,Day,Hurricane Name,Hurricane Year,Hurricane Month,Total Deaths,US Impact? 1=yes
79,AL161984,JOSEPHINE,19841010,600.0,,HU,27.2N,72.4W,65.0,987.0,,,,,,,,,,,,,1984,10,10,JOSEPHINE,1984,10,1,1
80,AL181984,KLAUS,19841108,0.0,,HU,19.4N,64.0W,65.0,992.0,,,,,,,,,,,,,1984,11,8,KLAUS,1984,11,0,1
81,AL201984,LILI,19841220,1200.0,,HU,31.1N,52.4W,70.0,980.0,,,,,,,,,,,,,1984,12,20,LILI,1984,12,0,1
82,AL021985,BOB,19850725,300.0,L,HU,32.2N,80.5W,65.0,1003.0,,,,,,,,,,,,,1985,7,25,BOB,1985,7,5,1
83,AL031985,CLAUDETTE,19850814,600.0,,HU,35.2N,52.5W,65.0,988.0,,,,,,,,,,,,,1985,8,14,CLAUDETTE,1985,8,0,1
84,AL041985,DANNY,19850815,1630.0,L,HU,29.6N,92.7W,80.0,987.0,,,,,,,,,,,,,1985,8,15,DANNY,1985,8,1,1
85,AL051985,ELENA,19850902,1300.0,L,HU,30.4N,89.2W,100.0,959.0,,,,,,,,,,,,,1985,9,2,ELENA,1985,8,4,1
86,AL091985,GLORIA,19850927,530.0,L,HU,35.2N,75.6W,90.0,942.0,,,,,,,,,,,,,1985,9,27,GLORIA,1985,9,17,1
87,AL121985,JUAN,19851029,1100.0,L,HU,29.5N,91.4W,65.0,974.0,,,,,,,,,,,,,1985,10,29,JUAN,1985,10,10,1
88,AL131985,KATE,19851121,2230.0,L,HU,30.0N,85.4W,85.0,967.0,,,,,,,,,,,,,1985,11,21,KATE,1985,11,5,1
89,AL021986,BONNIE,19860626,1000.0,L,HU,29.6N,94.2W,75.0,990.0,,,,,,,,,,,,,1986,6,26,BONNIE,1986,6,4,1
